offset,x,y,z,additional_values
0x100010,255,0,0,0|0|0|0|0
0x100040,5397,6678,5659,5397|5397|5397|13845|5397
0x100110,255,0,0,0|0|0|0|0
0x100140,5397,5397,5397,5397|5397|5397|5397|5397
0x100210,255,0,0,0|0|0|0|0
0x100320,255,0,0,0|0|0|0|0
0x100330,0,0,0,0|255|0|0|0
0x100380,255,0,0,0|0|0|0|0
0x100390,0,0,0,0|255|0|0|0
0x1003b0,255,0,0,0|0|0|0|0
0x1003c0,0,0,0,0|255|0|0|0
0x1003e0,255,0,0,0|0|0|0|0
0x1003f0,0,0,0,0|255|0|0|0
0x100410,255,0,0,0|0|0|0|0
0x100420,255,0,0,0|0|0|0|0
0x100430,0,0,0,0|255|0|0|0
0x100480,255,0,0,0|0|0|0|0
0x100490,0,0,0,0|255|0|0|0
0x1004b0,255,0,0,0|0|0|0|0
0x1004c0,0,0,0,0|255|0|0|0
0x1004e0,255,0,0,0|0|0|0|0
0x1004f0,0,0,0,0|255|0|0|0
0x100510,255,0,0,0|0|0|0|0
0x100520,255,0,0,0|0|0|0|0
0x100530,0,0,0,0|255|0|0|0
0x100580,255,0,0,0|0|0|0|0
0x100590,0,0,0,0|255|0|0|0
0x1005b0,255,0,0,0|0|0|0|0
0x1005c0,0,0,0,0|255|0|0|0
0x1005e0,255,0,0,0|0|0|0|0
0x1005f0,0,0,0,0|255|0|0|0
0x100610,255,0,0,0|0|0|0|0
0x100620,255,0,0,0|0|0|0|0
0x100630,0,0,0,0|255|0|0|0
0x100680,255,0,0,0|0|0|0|0
0x100690,0,0,0,0|255|0|0|0
0x1006b0,255,0,0,0|0|0|0|0
0x1006c0,0,0,0,0|255|0|0|0
0x1006e0,255,0,0,0|0|0|0|0
0x1006f0,0,0,0,0|255|0|0|0
0x100710,255,0,0,0|0|0|0|0
0x100720,255,0,0,0|0|0|0|0
0x100730,0,0,0,0|255|0|0|0
0x100780,255,0,0,0|0|0|0|0
0x100790,0,0,0,0|255|0|0|0
0x1007b0,255,0,0,0|0|0|0|0
0x1007c0,0,0,0,0|255|0|0|0
0x1007e0,255,0,0,0|0|0|0|0
0x1007f0,0,0,0,0|255|0|0|0
0x100810,255,0,0,0|0|0|0|0
0x100820,255,0,0,0|0|0|0|0
0x100830,0,0,0,0|255|0|0|0
0x100880,255,0,0,0|0|0|0|0
0x100890,0,0,0,0|255|0|0|0
0x1008b0,255,0,0,0|0|0|0|0
0x1008c0,0,0,0,0|255|0|0|0
0x1008e0,255,0,0,0|0|0|0|0
0x1008f0,0,0,0,0|255|0|0|0
0x100910,255,0,0,0|0|0|0|0
0x100920,255,0,0,0|0|0|0|0
0x100930,0,0,0,0|255|0|0|0
0x100980,255,0,0,0|0|0|0|0
0x100990,0,0,0,0|255|0|0|0
0x1009b0,255,0,0,0|0|0|0|0
0x1009c0,0,0,0,0|255|0|0|0
0x1009e0,255,0,0,0|0|0|0|0
